品目（量目は目安です）,出荷元（生産者）,生産地,ロット,規格,85%,,単価,ケース,10%,店頭着単価,JAN 1,商品コード,店頭売価,粗利,粗利率,終了時期,バス停・宅急便,集荷バス号車,お届けバス号車,配達曜日,お届け便,到着時間,月曜,火曜,水曜,木曜,金曜,土曜,日曜,ID,商品入数,単位
ルッコラ,アクト農場,茨城町,10,袋,#REF!,#REF!,¥100,"¥1,000",10%,¥110,4582550491546 ,,¥158,¥48,30.4%,周年,アクト,71,71,月・水・金,バス3,15:30~16:00,,,,,,,,,,
春菊,アクト農場,茨城町,10,袋,#REF!,#REF!,¥100,"¥1,000",10%,¥110,4582550491362 ,,¥198,¥88,44.4%,周年,アクト,71,71,月・水・金,バス3,15:30~16:00,,,,,,,,,,
リーフレタス(リボン),ふくろうファーム,水戸,8,袋,#REF!,#REF!,100,¥800,10%,¥110,,申請中,¥138,¥28,20.3%,10月末,鯉淵学園,74,71,月・水,バス3,15:30~16:00,0,,0,,,,,,,
リーフレタス(クイーン),ふくろうファーム,水戸,8,袋,#REF!,#REF!,100,¥800,10%,¥110,,申請中,¥138,¥28,20.3%,10月末,鯉淵学園,74,71,月・水,バス3,15:30~16:00,0,,0,,,,,,,
有機JAS小松菜20&みず菜15セット,株式会社ふしちゃん,つくば,35,袋,#REF!,#REF!,¥148,"¥5,180",10%,¥163,,,,,,周年,ふしちゃん,76,76,火〜日,バス2,14:00〜16:00,,,,,,,,,,
有機JAS商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小松菜15 & ほうれん草20,株式会社ふしちゃん,つくば,1,袋,#REF!,#REF!,¥156,¥156,10%,¥172,,,¥198,¥26,13.3%,周年,ふしちゃん,76,74,火〜日,バス3,14:00〜16:01,,,,,1,,,19240,1,ケース
ロメイン10 & 水菜10,株式会社ふしちゃん,つくば,20,袋,#REF!,#REF!,¥170,"¥3,400",10%,¥187,,,¥198,¥11,5.6%,周年,ふしちゃん,76,74,火〜日,バス3,14:00〜16:01,,,,,,,,,,
有機JASチンゲンサイ,株式会社ユニオンファーム,小美玉,10,袋,#REF!,#REF!,¥110,"¥1,100",10%,¥121,4582163109548 ,128-910,¥198,¥77,38.9%,周年,ユニオン,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
有機JASパクチー,株式会社ユニオンファーム,小美玉,10,袋,#REF!,#REF!,¥77,¥770,10%,¥85,4582163109791 ,128-970,¥98,¥13,13.6%,周年,ユニオン,76,76,火・木・土,バス2,14:00〜16:00,,,1,,,,,11539,30,g
有機JAS春菊,株式会社ユニオンファーム,小美玉,10,袋,#REF!,#REF!,¥115,"¥1,150",10%,¥127,4582163109791 ,128-970,¥178,¥52,28.9%,周年,ユニオン,76,76,火・木・土,バス2,14:00〜16:00,,,,,1,,,17613,100,g
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機JAS以外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用　大生姜,たかはぎ自然農園,城里町,10,袋,#REF!,#REF!,¥200,"¥2,000",18%,¥236,,,¥298,¥62,20.8%,11月,城里町役場,75,75,金,バス3,15:30~16:00,,,,,,,,,,
わさび菜,デーメテールの恵み,鉾田,10,袋,#REF!,#REF!,¥108,"¥1,080",10%,¥119,,,¥148,¥29,19.7%,12月中,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
カーボロネロ(150g),デーメテールの恵み,鉾田,5,袋,#REF!,#REF!,¥120,¥600,10%,¥132,4582626113075 ,,¥178,¥46,25.8%,12月末,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
紫菊芋,つくばヤーコン,つくば,10,袋,#REF!,#REF!,¥160,"¥1,600",10%,¥176,,,¥248,¥72,29.0%,11月末,KTC,76,76,火〜日,バス2,14:00〜16:00,,,,,,,,,,
ルッコラ,アクト農場,茨城町,15,袋,#REF!,#REF!,¥110,"¥1,650",10%,¥121,4582550491645 ,,¥158,¥37,23.4%,保留,アクト,71,71,月・水・金,バス3,15:30~16:00,,,,,,,,,,
ミニトマト（アルル）150g,かわかみ農園,つくば,10,袋,#REF!,#REF!,¥208,"¥2,080",10%,¥229,4582550491607 ,010-650,¥298,¥69,23.2%,6月末,KTC,76,76,水・金,バス2,14:00〜16:00,,,,,,,,,,
ミニトマト（ほれまる）150g,かわかみ農園,つくば,10,袋,#REF!,#REF!,¥208,"¥2,080",10%,¥229,4582550491614 ,010-677,¥298,¥69,23.2%,6月末,KTC,76,76,水・金,バス2,14:00〜16:00,,,1,,1,,,18654,150,g
カラフルミニトマト150g,かわかみ農園,つくば,10,袋,#REF!,#REF!,¥218,"¥2,180",10%,¥240,4582550491621 ,012-203,¥298,¥58,19.5%,6月末,KTC,76,76,水・金,バス2,14:00〜16:00,,,1,,1,,,18656,150,g
イタリアンパセリ（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913020053 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
オレガノ（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913160056 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
カラーラディッシュ,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥215,"¥1,075",10%,¥237,4544913524001 ,申請中,¥298,¥62,20.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
スイートバジル（50g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥170,¥850,10%,¥187,4544913010207 ,申請中,¥198,¥11,5.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
スイートバジル（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913010054 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
スイートマジョラム（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913170055 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
スペアミント（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913090056 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
セージ（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913130059 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
セルバチカ（50g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥125,¥625,10%,¥138,4544913200509 ,申請中,¥198,¥61,30.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
タイム（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913120050 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
チャービル（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913020052 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
ディル（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913040051 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
ハーブティミックス(20g),大洋まほろ馬農場,鉾田,5,ﾊﾟｯｸ,#REF!,#REF!,¥145,¥725,10%,¥160,4544913240208 ,,¥198,¥39,19.4%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
パクチー（30g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥95,¥475,10%,¥105,4544913190206 ,申請中,¥158,¥54,33.9%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
ロースマリー（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥75,4544913110051 ,申請中,¥98,¥23,23.5%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
ビーツ(3個入),大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥270,"¥1,350",10%,¥297,4544913529006 ,申請中,¥328,¥31,9.5%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,0,,,,,,,
ペパーミント（5g）,大洋まほろ馬農場,鉾田,5,袋,#REF!,#REF!,¥69,¥345,10%,¥76,4544913100052 ,申請中,¥98,¥22,22.6%,周年,まほろば,76,76,火・木・土,バス2,14:00〜16:00,,,,,,,,,,
スイスチャード,ファーマーズマーケット,千葉千葉,20,袋,#REF!,#REF!,¥90,"¥1,800",10%,¥99,なし,,¥158,¥59,37.3%,周年,宅急便,宅急便,宅急便,火・木・土,宅急便,AM,,,,,,,,,,
ふんわりサンチュ,浪川さん家のあおぞら農園,千葉千葉,20,袋,#REF!,#REF!,¥100,"¥2,000",10%,¥110,なし,,¥158,¥48,30.4%,周年,宅急便,宅急便,宅急便,月〜金,宅急便,AM,,,,,,,,,,
ミニトマト(アイコ＆甘っこ) 160g,Smile Farm,つくば,15,パック,#REF!,#REF!,¥225,"¥3,375",10%,¥248,4582626110098 ,,¥298,¥51,16.9%,保留,KTC,76,76,火〜日,バス2,14:00〜16:00,0,,,,0,,,,,
ミニトマト(ミックス)160g,Smile Farm,つくば,15,パック,#REF!,#REF!,¥225,"¥3,375",10%,¥248,4582626110074 ,,¥298,¥51,16.9%,保留,KTC,76,76,火〜日,バス2,14:00〜16:00,0,,,,0,,,,,
ミニトマト(アイコ＆甘っこ) 500g,Smile Farm,つくば,5,パック,#REF!,#REF!,¥690,"¥3,450",10%,¥759,,,¥880,¥121,13.8%,保留,KTC,76,76,火〜日,バス2,14:00〜16:00,,,,,,,,,,
ミニトマト(ミックス)500g,Smile Farm,つくば,5,パック,#REF!,#REF!,¥690,"¥3,450",10%,¥759,,,¥880,¥121,13.8%,保留,KTC,76,76,火〜日,バス2,14:00〜16:00,,,,,,,,,,
ごぼう2M(300～350g/4~5本入),藤通,つくば,10,袋,#REF!,#REF!,¥100,"¥1,000",20%,¥120,,,¥158,¥38,24.1%,,城里町役場,75,75,金,バス3,15:30~16:00,0,,,,0,,,,,
ごぼうS(300～350g/5~6本入),藤通,つくば,10,袋,#REF!,#REF!,¥100,"¥1,000",20%,¥120,,,¥158,¥38,24.1%,,城里町役場,75,75,金,バス3,15:30~16:00,0,,,,0,,,,,
さつまいも紅はるかS (300～350g),藤通,つくば,10,袋,#REF!,#REF!,¥100,"¥1,000",20%,¥120,,,¥158,¥38,24.1%,,城里町役場,75,75,金,バス3,15:30~16:00,0,,,,0,,,,,
